Processors:,,,,,,,,,,,,,,,,
Time,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500
P0,T11,T12,T12,T14,T13,T13,T14,T16,T16,,,,,,,
P1,,,,T15,T23,T25,T23,T23,,,,,,,,
P2,,,,,T14,T24,T25,T24,,,,,,,,
P3,T01,T01,T01,T04,T03,T02,T02,T07,T05,T06,T07,T08,,,,
P4,,,,,T04,T03,T06,,,,,,,,,
P5,,,,,T24,T07,,T25,,,,,,,,
P6,T21,T21,T21,T21,T22,T22,T22,T26,T27,T28,,,,,,
,,,,,,,,,,,,,,,,
Active Virtual Processors:,,,,,,,,,,,,,,,,
Time,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500
P0,T11,T12,T12,T14,T13,T13,T14,T16,T16,,,,,,,
P1,,,,T15,,,,,,,,,,,,
P2,,,,,T14,,,,,,,,,,,
P3,T01,T01,T01,T04,T03,T02,T02,T07,T05,T06,T07,T08,,,,
P4,,,,,T04,T03,T06,,,,,,,,,
P5,,,,,,T07,,,,,,,,,,
P6,T21,T21,T21,T21,T22,T22,T22,T26,T27,T28,,,,,,
,,,,,,,,,,,,,,,,
Passive Virtual Processors:,,,,,,,,,,,,,,,,
Time,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500
P0,,,,,,,,,,,,,,,,
P1,,,,,T23,T25,T23,T23,,,,,,,,
P2,,,,,,T24,T25,T24,,,,,,,,
P3,,,,,,,,,,,,,,,,
P4,,,,,,,,,,,,,,,,
P5,,,,,T24,,,T25,,,,,,,,
P6,,,,,,,,,,,,,,,,
