Processors:
Time,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,
P0,T11,T12,T12,T14,T13,T13,T14,T16,T16,T23,T23,T28,,,,,
P1,T21,T21,T21,T15,T02,T02,T05,T07,T24,T24,T24,,,,,,
P2,,,,T21,T14,T22,T22,T22,T25,T25,T25,,,,,,
P3,T01,T01,T01,T04,T03,T03,T06,T06,T08,T27,,,,,,,
P4,,,,,T04,T07,T07,T23,T26,,,,,,,,

Active Virtual Processors:
Time,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,
P0,T11,T12,T12,T14,T13,T13,T14,T16,T16,,,,,,,,
P1,,,,T15,,,,,,,,,,,,,
P2,,,,,T14,,,,,,,,,,,,
P3,T01,T01,T01,T04,T03,T03,T06,T06,T08,,,,,,,,
P4,,,,,T04,T07,T07,,,,,,,,,,

Passive Virtual Processors:
Time,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,
P0,,,,,,,,,,,,,,,,,
P1,,,,,T02,T02,T05,T07,,,,,,,,,
P2,,,,,,,,,,,,,,,,,
P3,,,,,,,,,,,,,,,,,
P4,,,,,,,,,,,,,,,,,

Uncommitted Schedule:
Time,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,
P0,,,,,,,,,,T23,T23,T28,,,,,
P1,T21,T21,T21,,,,,,T24,T24,T24,,,,,,
P2,,,,T21,,T22,T22,T22,T25,T25,T25,,,,,,
P3,,,,,,,,,,T27,,,,,,,
P4,,,,,,,,T23,T26,,,,,,,,
