Processors:
Time,0,100,200,300,400,500,600,700,800,900,1000,1100,
P0,T01,T01,T01,T01,T01,T01,T01,T01,T02,T07,T08,,
P1,,T13,T15,T17,,,,,T03,,,,
P2,T21,T22,T23,T24,,,T21,T22,T04,T23,T24,,
P3,T31,T32,T33,T34,,,T31,T32,T05,T33,T34,,
P4,T41,T42,T43,T44,,,T41,T42,T06,T43,T44,,
P5,T11,T12,T14,T16,T18,,,,,,,,

Active Virtual Processors:
Time,0,100,200,300,400,500,600,700,800,900,1000,1100,
P0,T01,T01,T01,T01,T01,T01,T01,T01,T02,T07,T08,,
P1,,,,,,,,,T03,,,,
P2,,,,,,,,,T04,,,,
P3,,,,,,,,,T05,,,,
P4,,,,,,,,,T06,,,,
P5,T11,T12,T14,T16,T18,,,,,,,,

Passive Virtual Processors:
Time,0,100,200,300,400,500,600,700,800,900,1000,1100,
P0,,,,,,,,,,,,,
P1,,T13,T15,T17,,,,,,,,,
P2,T21,T22,T23,T24,,,T21,T22,,T23,T24,,
P3,T31,T32,T33,T34,,,T31,T32,,T33,T34,,
P4,T41,T42,T43,T44,,,T41,T42,,T43,T44,,
P5,,,,,,,,,,,,,

Uncommitted Schedule:
0,100,200,300,400,500,600,700,800,900,1000,1100,
P0,,,,,,,,,,,,,
P1,,,,,,,,,,,,,
P2,,,,,,,,,,,,,
P3,,,,,,,,,,,,,
P4,,,,,,,,,,,,,
P5,,,,,,,,,,,,,
